MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
SSY FUTURES LTD -  FREIGHT SCREEN,3579,3579,OPRT,,213800RGYOAL3KL2XL02,NSPD,,GB,LONDON,TRADING SCREEN FOR FORWARD FREIGHT AGREEMENTS (FFA).
21X,21XX,21XX,OPRT,21X AG,529900WC0LESEODR7A83,OTHR,21X,DE,FRANKFURT,
24 EXCHANGE,24EX,24EX,OPRT,,213800YXBUZH7G3NDC51,NSPD,24EX,BM,BERMUDA,FOREIGN EXCHANGE AND EQUITIES.
360T,360T,360T,OPRT,360 TREASURY SYSTEMS AG,529900P0204W9HA8JP36,MLTF,,DE,FRANKFURT,
360X,360X,360X,OPRT,360X AG,529900M42L36KXZ1JD69,MLTF,,DE,FRANKFURT,
4 AFRICA EXCHANGE (PTY) LTD,4AXE,4AXE,OPRT,,378900CCCF6D95AECA88,RMKT,,ZA,BRYANSTON - SANDTON,
A2X,A2XX,A2XX,OPRT,,,NSPD,A2X,ZA,JOHANNESBURG,REGISTERED MARKET FOR EQUITIES.
CREDIT AGRICOLE CIB,AACA,AACA,OPRT,,1VUV7VQFKUOQSJ21A208,SINT,CACIB SI,FR,PARIS,SYSTEMATIC INTERNALISER.
ATHENS EXCHANGE - APA,AAPA,AAPA,OPRT,,549300GSRN07MNENPL97,APPA,ATHEX APA,GR,ATHENS,APPROVED PUBLICATION ARRANGEMENT.
ASSENT ATS,AATS,AATS,OPRT,,,ATSS,,US,JERSEY CITY,"ASSENT ATS IS A US EQUITY DARK POOL OPERATED BY ASSENT, LLC - A SUBSIDIARY OF SUNGARD."
ABANCA,ABAN,ABAN,OPRT,,54930056IRBXK0Q1FP96,NSPD,,ES,MADRID,
ALPHA BANK,ABFI,ABFI,OPRT,,213800DBQIB6VBNU5C64,SINT,,GR,ATHENS,SYSTEMATIC INTERNALISER FOR NON EQUITIES.
ABN AMRO BANK NV,ABNA,ABNA,OPRT,,BFXS5XCH7N0Y05NIXW11,SINT,,NL,AMSTERDAM,SYSTEMATIC INTERNALISER.
ABN AMRO CLEARING BANK,ABNC,ABNC,OPRT,ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,SINT,AACB SI,NL,AMSTERDAM,SYSTEMATIC INTERNALISER.
ALM. BRAND BANK,ABSI,ABSI,OPRT,,2UM1RGHWEBOSN4PMNL63,SINT,,DK,COPENHAGEN,SYSTEMATIC INTERNALISER.
ACCX,ACCX,ACCX,OPRT,ACCX GROUP (UK) LIMITED,213800YC71IW3WFNWL71,MLTF,,GB,LONDON,
ACE DERIVATIVES AND COMMODITY EXCHANGE LTD,ACEX,ACEX,OPRT,,33580057DULMQ3ANKR63,NSPD,,IN,MUMBAI,DERIVATIVES EXCHANGE FOR COMMODITIES TRADING IN INDIA.
ACX CLEARING CORPORATION LTD.,ACXC,ACXC,OPRT,ACX CLEARING CORPORATION LTD.,98450054E61056C8FF16,RMOS,,AE,ABU DHABI,
ACX,ACXL,ACXL,OPRT,ACX LTD,984500FA44A07RE3D049,RMOS,,AE,ABU DHABI,
ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING,ADVT,ADVT,OPRT,,549300A1NXV20ZS25T07,APPA,,US,NEW YORK,APPROVED PUBLICATION ARRANGEMENT (APA).
ABIDE FINANCIAL DRSP LIMITED APA,AFDL,AFDL,OPRT,ABIDE FINANCIAL DRSP LIMITED,549300FVRWYPDFJTH118,APPA,AFDLAPA,GB,LONDON,
AGRICULTURAL FUTURES EXCHANGE OF THAILAND,AFET,AFET,OPRT,,,NSPD,,TH,BANGKOK,
AFRINEX LIMITED,AFEX,AFEX,OPRT,,894500KM5IC8X0Z2BZ48,NSPD,,MU,"CYBERCITY, EBENE",
AFS - OTF,AFSA,AFSA,OPRT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,ORGANISED TRADING FACILITY.
